國文,英文,數學,社會,自然
8,6,10,13,10
11,6,10,11,8
15,8,6,8,11
14,9,9,15,7
15,15,11,15,13
6,6,15,13,6
13,6,13,11,13
6,7,8,12,13
13,6,14,9,8
14,12,12,14,15
10,9,11,14,6
9,8,10,11,7
6,9,11,8,10
10,7,10,15,6
7,10,12,15,12
10,11,14,9,14
12,11,10,11,9
15,7,12,15,14
15,11,12,11,13
13,13,13,7,13
15,6,7,15,9
14,6,7,7,12
13,9,7,9,12
15,8,10,10,9
8,14,9,6,10
8,7,13,12,8
9,13,9,8,15
15,8,8,12,11
6,13,12,11,13
10,9,13,6,6
7,15,15,15,11
13,14,15,13,7
10,12,13,10,15
8,11,15,8,8
8,13,12,6,12
10,6,9,12,6
6,6,7,14,6
6,7,12,14,7
11,6,10,14,14
10,14,15,11,14
15,9,9,11,15
11,8,15,14,14
12,14,8,10,8
14,10,10,9,7
15,7,7,6,14
14,8,9,14,8
6,10,11,12,6
13,15,6,10,13
12,10,14,8,14
8,9,12,7,10
10,7,11,11,8
8,14,8,15,6
15,9,13,9,15
6,7,8,15,14
12,13,12,9,12
14,10,15,7,14
10,8,15,14,11
7,14,8,9,11
15,15,6,13,8
15,14,7,10,11
7,11,15,6,9
12,13,12,11,8
15,9,12,15,9
13,11,12,11,11
9,13,10,9,10
13,14,11,10,11
13,12,11,8,8
11,14,10,9,6
14,13,6,10,14
8,10,7,6,14
7,14,8,8,14
11,9,7,13,8
13,6,8,7,9
13,15,8,9,9
15,7,14,8,15
12,14,8,9,12
8,13,15,6,7
6,9,10,9,10
12,13,13,12,10
7,15,14,15,6
14,11,8,10,13
15,7,8,9,15
11,12,10,12,13
9,11,13,14,15
11,12,15,7,7
14,8,11,14,6
8,12,12,8,15
8,13,7,7,12
7,11,8,14,6
9,12,11,6,7
15,15,11,11,8
15,11,11,10,13
6,9,11,12,14
12,13,6,12,14
10,12,6,12,8
14,13,14,14,9
7,11,12,10,10
8,12,7,9,15
12,8,13,7,14
10,6,15,12,13
